BUNDLE;IMPORT
"apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js";"../../frontend-js-web/__liferay__/index.js"
"apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/ai-creator-openai-web/all.js`)"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$button.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$core.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$date-picker.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$drop-down.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$empty-state.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$icon.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$link.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$loading-indicator.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$pagination-bar.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$pagination.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$popover.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$table.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$tooltip.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-react-web/__liferay__/exports/classnames.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-recharts/__liferay__/exports/recharts.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"../../frontend-js-web/__liferay__/index.js"
"apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/analytics-reports-js-components-web/all.js`)"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$alert.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$button.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$core.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$drop-down.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$empty-state.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$form.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$icon.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$label.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$layout.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$link.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$list.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$management-toolbar.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$modal.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$multi-step-nav.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$nav.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$pagination-bar.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$pagination.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$panel.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$table.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$tabs.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$tooltip.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-react-web/__liferay__/exports/classnames.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"../../frontend-js-web/__liferay__/index.js"
"apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/analytics-settings-web/all.js`)"
"apps/announcements/announcements-web/__liferay__/index.(Y3G2TBZS).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/announcements/announcements-web/__liferay__/index.(Y3G2TBZS).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/announcements-web/all.js`)"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$badge.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$button.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$core.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$drop-down.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$empty-state.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$form.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$icon.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$nav.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$shared.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$sticker.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"../../layout-js-components-web/__liferay__/index.js"
"apps/application-list/application-list-taglib/__liferay__/index.(TY5JIPCZ).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/application-list-taglib/all.js`)"
"apps/asset/asset-categories-admin-web/__liferay__/index.(YGV455ZB).js";"../../asset-taglib/__liferay__/index.js"
"apps/asset/asset-categories-admin-web/__liferay__/index.(YGV455ZB).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/asset/asset-categories-admin-web/__liferay__/index.(YGV455ZB).js";"../../frontend-js-react-web/__liferay__/exports/prop-types.js"
"apps/asset/asset-categories-admin-web/__liferay__/index.(YGV455ZB).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/asset/asset-categories-admin-web/__liferay__/index.(YGV455ZB).js";"../../frontend-js-web/__liferay__/index.js"
"apps/asset/asset-categories-admin-web/__liferay__/index.(YGV455ZB).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/asset-categories-admin-web/all.js`)"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$alert.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$button.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$core.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$empty-state.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$form.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$icon.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$layout.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../frontend-js-web/__liferay__/index.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"../../layout-js-components-web/__liferay__/index.js"
"apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/asset-categories-item-selector-web/all.js`)"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../asset-taglib/__liferay__/index.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$button.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$drop-down.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$empty-state.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$form.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$icon.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$link.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$list.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$tooltip.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-react-web/__liferay__/exports/classnames.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-react-web/__liferay__/exports/prop-types.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-react-web/__liferay__/exports/react-dnd-html5-backend.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-react-web/__liferay__/exports/react-dnd.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"../../frontend-js-web/__liferay__/index.js"
"apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/asset-list-web/all.js`)"
"apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js";"../../asset-taglib/__liferay__/index.js"
"apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$button.js"
"apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$form.js"
"apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$icon.js"
"apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js";"../../frontend-js-react-web/__liferay__/exports/prop-types.js"
"apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js";"../../frontend-js-web/__liferay__/index.js"
"apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/asset-publisher-web/all.js`)"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$button.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$core.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$data-provider.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$form.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$icon.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$link.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$multi-select.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-react-web/__liferay__/exports/classnames.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-react-web/__liferay__/exports/prop-types.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-react-web/__liferay__/index.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../frontend-js-web/__liferay__/index.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"../../item-selector-web/__liferay__/index.js"
"apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/asset-taglib/all.js`)"
"apps/asset/asset-tags-admin-web/__liferay__/index.(HRWPVH36).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/asset/asset-tags-admin-web/__liferay__/index.(HRWPVH36).js";"../../frontend-js-web/__liferay__/index.js"
"apps/asset/asset-tags-admin-web/__liferay__/index.(HRWPVH36).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/asset-tags-admin-web/all.js`)"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$alert.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$button.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$form.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$icon.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$label.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$layout.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$modal.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$progress-bar.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$table.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$tooltip.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-react-web/__liferay__/exports/classnames.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-react-web/__liferay__/exports/prop-types.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-react-web/__liferay__/exports/react-dom.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-react-web/__liferay__/index.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"../../frontend-js-web/__liferay__/index.js"
"apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/batch-planner-web/all.js`)"
"apps/blogs/blogs-web/__liferay__/index.(M5DBOIRS).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$form.js"
"apps/blogs/blogs-web/__liferay__/index.(M5DBOIRS).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/blogs/blogs-web/__liferay__/index.(M5DBOIRS).js";"../../frontend-js-react-web/__liferay__/exports/react.js"
"apps/blogs/blogs-web/__liferay__/index.(M5DBOIRS).js";"../../frontend-js-state-web/__liferay__/index.js"
"apps/blogs/blogs-web/__liferay__/index.(M5DBOIRS).js";"../../frontend-js-web/__liferay__/index.js"
"apps/blogs/blogs-web/__liferay__/index.(M5DBOIRS).js";"../../item-selector-taglib/__liferay__/index.js"
"apps/blogs/blogs-web/__liferay__/index.(M5DBOIRS).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/blogs-web/all.js`)"
"apps/bookmarks/bookmarks-web/__liferay__/index.(GBBTFWO3).js";"../../frontend-js-components-web/__liferay__/index.js"
"apps/bookmarks/bookmarks-web/__liferay__/index.(GBBTFWO3).js";"../../frontend-js-web/__liferay__/index.js"
"apps/bookmarks/bookmarks-web/__liferay__/index.(GBBTFWO3).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/bookmarks-web/all.js`)"
"apps/calendar/calendar-web/__liferay__/index.(PLZNCGCC).js";"import(`@liferay/language/${ Liferay.ThemeDisplay.getLanguageId() }/calendar-web/all.js`)"
"apps/change-tracking/change-tracking-web/__liferay__/index.(BAVGJRKM).js";"../../frontend-js-clay-web/__liferay__/exports/@clayui$alert.js"
